Date,Open,High,Low,Close,Adj Close,Volume
2017-05-30,10.950000,11.270000,10.900000,11.120000,11.120000,35339000
2017-05-31,11.290000,11.490000,11.100000,11.190000,11.190000,42929000
2017-06-01,11.250000,11.290000,10.810000,10.930000,10.930000,48002000
2017-06-02,10.930000,10.960000,10.570000,10.900000,10.900000,43056200
2017-06-05,10.840000,11.340000,10.800000,11.240000,11.240000,66207300
2017-06-06,11.270000,12.240000,11.240000,12.030000,12.030000,114998600
2017-06-07,12.420000,12.960000,12.230000,12.380000,12.380000,151005900
2017-06-08,12.810000,12.910000,12.400000,12.900000,12.900000,89515100
2017-06-09,13.100000,13.400000,11.630000,12.280000,12.280000,167454400
2017-06-12,11.750000,12.350000,11.270000,12.090000,12.090000,125781800
2017-06-13,12.330000,12.480000,11.670000,11.960000,11.960000,87302300
2017-06-14,11.910000,12.050000,11.650000,11.770000,11.770000,51909400
2017-06-15,11.340000,11.580000,11.210000,11.500000,11.500000,61666000
2017-06-16,11.660000,11.830000,11.280000,11.440000,11.440000,59779500
2017-06-19,11.630000,12.120000,11.620000,11.930000,11.930000,61803600
2017-06-20,12.190000,12.930000,12.180000,12.640000,12.640000,118001500
2017-06-21,13.360000,14.010000,13.130000,13.980000,13.980000,188796100
2017-06-22,14.100000,14.500000,13.560000,14.380000,14.380000,149594200
2017-06-23,14.150000,14.670000,13.900000,14.170000,14.170000,200777300
2017-06-26,14.390000,14.490000,13.840000,14.080000,14.080000,101012500
2017-06-27,13.760000,14.040000,13.370000,13.400000,13.400000,89319700
2017-06-28,13.650000,13.700000,13.090000,13.230000,13.230000,85266900
2017-06-29,13.060000,13.150000,12.450000,12.600000,12.600000,87634400
2017-06-30,12.570000,12.830000,12.360000,12.480000,12.480000,59267400
2017-07-03,12.570000,12.730000,12.130000,12.150000,12.150000,39929100
2017-07-05,12.360000,13.210000,12.320000,13.190000,13.190000,99450200
2017-07-06,12.940000,13.320000,12.670000,13.020000,13.020000,88927800
2017-07-07,13.270000,13.750000,13.180000,13.360000,13.360000,88392100
2017-07-10,13.610000,13.880000,13.270000,13.810000,13.810000,78320200
2017-07-11,13.770000,14.100000,13.620000,13.890000,13.890000,71102300
2017-07-12,14.170000,14.390000,13.960000,14.290000,14.290000,78508400
2017-07-13,14.330000,14.490000,13.430000,13.530000,13.530000,111656900
2017-07-14,13.460000,13.930000,13.320000,13.920000,13.920000,82084600
2017-07-17,14.030000,14.120000,13.510000,13.800000,13.800000,71690800
2017-07-18,13.290000,13.530000,13.150000,13.480000,13.480000,78366500
2017-07-19,13.620000,13.740000,13.410000,13.550000,13.550000,51957800
2017-07-20,13.610000,13.890000,13.450000,13.800000,13.800000,47707500
2017-07-21,13.700000,14.050000,13.620000,13.880000,13.880000,51045700
2017-07-24,14.000000,14.440000,13.970000,14.160000,14.160000,71014900
